# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384202963149e-10       4.186576788927e-15       3.522057416474e-13       2.635330364851e-19       8.373948001015e-09       4.603357553386e-10      -1.843366407504e-12 
    3       1.309904558349e-10       5.367565563670e-15       3.963295771597e-13       5.271855977860e-19       5.158454649864e-09       3.262286496919e-10      -1.396676659800e-12 
    4       1.240332779872e-10       4.643537915438e-15       3.710292181539e-13       8.789053135638e-19       3.577884085063e-09       2.469819281287e-10      -9.145824921803e-13 
    5       1.188700072231e-10       3.099112635880e-15       3.163345460665e-13       1.318843415589e-18       2.665381030995e-09       1.951351271639e-10      -5.085620021593e-13 
    6       1.153806233231e-10       1.734923111128e-15       2.551199919870e-13       1.847182187272e-18       2.078806355212e-09       1.588168768025e-10      -2.094079510906e-13 
    7       1.131619433815e-10       9.397557908814e-16       2.006636702375e-13       2.464130822660e-18       1.674835799220e-09       1.321515567733e-10      -1.870672458588e-14 
    8       1.119363012789e-10       6.081515042379e-16       1.588043365290e-13       3.169920801395e-18       1.382748272926e-09       1.119275179075e-10       7.847756538824e-14 
    9       1.114539109554e-10       4.895277485738e-16       1.308658245916e-13       3.964800944055e-18       1.163518357527e-09       9.623933640968e-11       1.055189417099e-13 
   10       1.114809829403e-10       4.191579590092e-16       1.155489054560e-13       4.849032321699e-18       9.940106771554e-10       8.380838251446e-11       8.832291893684e-14 
   11       1.119615879981e-10       3.554538947275e-16       1.101985493548e-13       5.822883195838e-18       8.512048656716e-10       7.448619810256e-11       5.106335600448e-14 
