# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042074545152e-05       4.834764125081e+01 
       2.327567964668e-05       1.050814829365e+02 
       3.617561717612e-05       1.608903452011e+02 
       4.915512597041e-05       2.163470615861e+02 
       6.224934323933e-05       2.717815518167e+02 
       7.549428752096e-05       3.274435299090e+02 
       8.892718066764e-05       3.835480607622e+02 
       1.025867840357e-04       4.402944610624e+02 
       1.165137531779e-04       4.978758768999e+02 
       1.307510153722e-04       5.564850789163e+02 
       1.453441743253e-04       6.163186401149e+02 
       1.603419463355e-04       6.775801961715e+02 
       1.757966320217e-04       7.404832123078e+02 
       1.917646273718e-04       8.052534846788e+02 
       2.083069772164e-04       8.721316244222e+02 
       2.254899731890e-04       9.413755121425e+02 
       2.433857966059e-04       1.013262989368e+03 
       2.620732042917e-04       1.088093719995e+03 
       2.816382519067e-04       1.166192411997e+03 
       3.021750444948e-04       1.247910868081e+03 
       3.237864973836e-04       1.333630577159e+03 
       3.465850818369e-04       1.423764784376e+03 
       3.706935186177e-04       1.518760282231e+03 
       3.962453686033e-04       1.619098694169e+03 
       4.233854528142e-04       1.725296910043e+03 
       4.522700151718e-04       1.837906043664e+03 
       4.830665212753e-04       1.957509305180e+03 
       5.159529679278e-04       2.084717148730e+03 
       5.511165650117e-04       2.220160485749e+03 
       5.887516492798e-04       2.364480384702e+03 
       6.290567058962e-04       2.518314419640e+03 
       6.722304159292e-04       2.682279780746e+03 
       7.184667229350e-04       2.856952094614e+03 
       7.679490213574e-04       3.042842424462e+03 
       8.208437077036e-04       3.240371741398e+03 
       8.772934852100e-04       3.449845938655e+03 
       9.374109452767e-04       3.671432663451e+03 
       1.001273028386e-03       3.905144019578e+03 
       1.068916959950e-03       4.150824110752e+03 
       1.140338144261e-03       4.408148223220e+03 
       1.215490290275e-03       4.676628285077e+03 
       1.294287772950e-03       4.955629273977e+03 
       1.376609959948e-03       5.244391742581e+03 
       1.462307014391e-03       5.542063063072e+03 
       1.551206561799e-03       5.847718869796e+03 
