# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042074545152e-05       4.833599303141e+01 
       2.327567964668e-05       1.050562232448e+02 
       3.617561717612e-05       1.608518247731e+02 
       4.915512597041e-05       2.162955630233e+02 
       6.224934323933e-05       2.717173505945e+02 
       7.549428752096e-05       3.273669177905e+02 
       8.892718066764e-05       3.834593598076e+02 
       1.025867840357e-04       4.401940346973e+02 
       1.165137531779e-04       4.977641403815e+02 
       1.307510153722e-04       5.563625102186e+02 
       1.453441743253e-04       6.161857917493e+02 
       1.603419463355e-04       6.774377082993e+02 
       1.757966320217e-04       7.403318273847e+02 
       1.917646273718e-04       8.050940637728e+02 
       2.083069772164e-04       8.719651652277e+02 
       2.254899731890e-04       9.412031685873e+02 
       2.433857966059e-04       1.013086092489e+03 
       2.620732042917e-04       1.087913799671e+03 
       2.816382519067e-04       1.166011218343e+03 
       3.021750444948e-04       1.247730391234e+03 
       3.237864973836e-04       1.333453063206e+03 
       3.465850818369e-04       1.423592744424e+03 
       3.706935186177e-04       1.518596490576e+03 
       3.962453686033e-04       1.618946170376e+03 
       4.233854528142e-04       1.725158878768e+03 
       4.522700151718e-04       1.837785865458e+03 
       4.830665212753e-04       1.957410371856e+03 
       5.159529679278e-04       2.084642739130e+03 
       5.511165650117e-04       2.220113582680e+03 
       5.887516492798e-04       2.364463462618e+03 
       6.290567058962e-04       2.518329225741e+03 
       6.722304159292e-04       2.682327148192e+03 
       7.184667229350e-04       2.857031842346e+03 
       7.679490213574e-04       3.042953404925e+03 
       8.208437077036e-04       3.240512085551e+03 
       8.772934852100e-04       3.450013505172e+03 
       9.374109452767e-04       3.671625624627e+03 
       1.001273028386e-03       3.905361427528e+03 
       1.068916959950e-03       4.151066226301e+03 
       1.140338144261e-03       4.408416417497e+03 
       1.215490290275e-03       4.676924473036e+03 
       1.294287772950e-03       4.955955081731e+03 
       1.376609959948e-03       5.244747814691e+03 
       1.462307014391e-03       5.542448916562e+03 
       1.551206561799e-03       5.848133415444e+03 
       1.643120596178e-03       6.160836496018e+03 
       1.737852080844e-03       6.479582929488e+03 
       1.835200839511e-03       6.803408672287e+03 
       1.934968493495e-03       7.131381706341e+03 
       2.036962349406e-03       7.462615266445e+03 
       2.140998258650e-03       7.796278809067e+03 
       2.246902548591e-03       8.131603430898e+03 
       2.354513167637e-03       8.467885250003e+03 
       2.463680200365e-03       8.804484888885e+03 
       2.574265903132e-03       9.140825913377e+03 
       2.686144393533e-03       9.476391991486e+03 
       2.799201105028e-03       9.810722487742e+03 
       2.913332095218e-03       1.014340854034e+04 
       3.028443275199e-03       1.047408841307e+04 
       3.144449609409e-03       1.080244365827e+04 
       3.261274320636e-03       1.112819387319e+04 
       3.378848123399e-03       1.145109408020e+04 
       3.497108500200e-03       1.177093105697e+04 
       3.615999028797e-03       1.208751856135e+04 
       3.735468764111e-03       1.240069637682e+04 
       3.855471675280e-03       1.271032524383e+04 
       3.975966136338e-03       1.301628709679e+04 
       4.096914467711e-03       1.331848090067e+04 
       4.218282525000e-03       1.361682162022e+04 
       4.340039331212e-03       1.391123836967e+04 
       4.462156748480e-03       1.420167213745e+04 
