# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383584805565e-10       4.185654657369e-15       3.521317452756e-13       0.000000000000e+00       8.336441795549e-09       4.591963893209e-10      -1.843264097949e-12 
    3       1.309132138002e-10       5.365731060464e-15       3.961932791212e-13       0.000000000000e+00       5.131445959683e-09       3.251688391737e-10      -1.396551087948e-12 
    4       1.239404406737e-10       4.640830485925e-15       3.708223559689e-13       0.000000000000e+00       3.557233991658e-09       2.460019340216e-10      -9.144547835891e-13 
    5       1.187597266620e-10       3.095620740889e-15       3.160490042089e-13       0.000000000000e+00       2.648697078295e-09       1.942243403640e-10      -5.084406430326e-13 
    6       1.152500632808e-10       1.730729380050e-15       2.547475429632e-13       0.000000000000e+00       2.064837375444e-09       1.579677738251e-10      -2.092951071140e-13 
    7       1.130085171875e-10       9.349000358528e-16       2.001952608946e-13       0.000000000000e+00       1.662862318710e-09       1.313587947061e-10      -1.860028000300e-14 
    8       1.117563928584e-10       6.026003066593e-16       1.582300187005e-13       0.000000000000e+00       1.372292940801e-09       1.111856698046e-10       7.858185954286e-14 
    9       1.112439326085e-10       4.831541450287e-16       1.301753277851e-13       0.000000000000e+00       1.154251463606e-09       9.554264319120e-11       1.056250890005e-13 
   10       1.112379151266e-10       4.117497871113e-16       1.147317132312e-13       0.000000000000e+00       9.857037310444e-10       8.315222138236e-11       8.843283927173e-14 
   11       1.116813583854e-10       3.467464826000e-16       1.092451146895e-13       0.000000000000e+00       8.436734407179e-10       7.386953142553e-11       5.117146538883e-14 
   12       1.124187991034e-10       3.033905233287e-16       1.106490982643e-13       0.000000000000e+00       7.375403719714e-10       6.532605413112e-11       1.143517425917e-14 
   13       1.134006948670e-10       2.923034716308e-16       1.162470666802e-13       0.000000000000e+00       6.503638211120e-10       5.838374375745e-11      -1.873431757429e-14 
   14       1.145801626155e-10       3.053866569540e-16       1.240022847276e-13       0.000000000000e+00       5.777964700021e-10       5.233859722993e-11      -3.509828663305e-14 
   15       1.159422935320e-10       3.310516828759e-16       1.326091935945e-13       0.000000000000e+00       5.166884346460e-10       4.725146755269e-11      -3.789275675773e-14 
   16       1.174091503207e-10       3.670451485682e-16       1.413966948614e-13       0.000000000000e+00       4.647086168377e-10       4.286428569742e-11      -3.111615032489e-14 
   17       1.190114670657e-10       4.190799790938e-16       1.501421301573e-13       0.000000000000e+00       4.200990986600e-10       3.903421499888e-11      -1.999929701426e-14 
   18       1.206836811262e-10       4.926241329020e-16       1.590984324140e-13       0.000000000000e+00       3.813689647974e-10       3.569489062638e-11      -9.456946947927e-15 
   19       1.224367278093e-10       5.879867117153e-16       1.684902198776e-13       0.000000000000e+00       3.478963592338e-10       3.279779463084e-11      -2.098635633786e-15 
   20       1.242642894289e-10       7.031365912578e-16       1.784628316799e-13       0.000000000000e+00       3.184081544269e-10       3.022507686194e-11       3.745440105585e-16 
   21       1.261671173540e-10       8.374791461413e-16       1.889645838808e-13       0.000000000000e+00       2.924424368488e-10       2.793001029125e-11      -1.442453630559e-15 
   22       1.281182083495e-10       9.905891332116e-16       1.998020696581e-13       0.000000000000e+00       2.693759171209e-10       2.585558800523e-11      -5.762192434459e-15 
   23       1.301242898802e-10       1.162663768884e-15       2.106510979834e-13       0.000000000000e+00       2.489010837523e-10       2.399415601845e-11      -1.081366809186e-14 
   24       1.321802751302e-10       1.353934618800e-15       2.210989957036e-13       0.000000000000e+00       2.305517302317e-10       2.232977541950e-11      -1.471986831021e-14 
   25       1.342805794144e-10       1.564647942784e-15       2.308348148032e-13       0.000000000000e+00       2.140798276607e-10       2.083935397691e-11      -1.666305845837e-14 
   26       1.364068520341e-10       1.795214829066e-15       2.395912269044e-13       0.000000000000e+00       1.991638704999e-10       1.948459477540e-11      -1.631561308582e-14 
   27       1.385687286667e-10       2.047329997772e-15       2.472969135864e-13       0.000000000000e+00       1.857270165944e-10       1.825621010198e-11      -1.420282082072e-14 
   28       1.407691775853e-10       2.323327272859e-15       2.539656983162e-13       0.000000000000e+00       1.736069311149e-10       1.713913459043e-11      -1.135093052449e-14 
   29       1.429975410791e-10       2.625563709243e-15       2.596428306293e-13       0.000000000000e+00       1.625099430096e-10       1.610718496254e-11      -8.903755108912e-15 
   30       1.452604295637e-10       2.955168205692e-15       2.643770288427e-13       0.000000000000e+00       1.523751639211e-10       1.515918881901e-11      -7.254877216928e-15 
   31       1.475594293386e-10       3.312786925607e-15       2.682419885382e-13       0.000000000000e+00       1.431276009919e-10       1.429484542331e-11      -6.582698682202e-15 
   32       1.498863250540e-10       3.699011511120e-15       2.713050657069e-13       0.000000000000e+00       1.346212451740e-10       1.350671919911e-11      -6.970827170339e-15 
   33       1.522405953675e-10       4.114821978068e-15       2.734839051699e-13       0.000000000000e+00       1.268099497621e-10       1.278818694137e-11      -8.059248201454e-15 
   34       1.546159027622e-10       4.561296568783e-15       2.746355517088e-13       0.000000000000e+00       1.196247292885e-10       1.212695239266e-11      -9.249634115508e-15 
   35       1.570010072380e-10       5.039476043976e-15       2.746077000505e-13       0.000000000000e+00       1.129588650817e-10       1.150718160174e-11      -9.940519313581e-15 
   36       1.594031583915e-10       5.550300978494e-15       2.732941124902e-13       0.000000000000e+00       1.067951655146e-10       1.092678668586e-11      -1.006753838100e-14 
   37       1.618313206013e-10       6.094646891883e-15       2.705965839012e-13       0.000000000000e+00       1.011144063471e-10       1.038530766816e-11      -9.746578536753e-15 
   38       1.642891418361e-10       6.673335646334e-15       2.664095763349e-13       0.000000000000e+00       9.585685206336e-11       9.878926588682e-12      -9.134545740760e-15 
   39       1.667759461652e-10       7.287129239939e-15       2.606453915674e-13       0.000000000000e+00       9.094382276717e-11       9.402279850214e-12      -8.408388170066e-15 
   40       1.692917101151e-10       7.936718569234e-15       2.533213246458e-13       0.000000000000e+00       8.636033397204e-11       8.955416040623e-12      -7.686204886362e-15 
   41       1.718326875846e-10       8.622724000538e-15       2.445013269276e-13       0.000000000000e+00       8.209437751763e-11       8.538675570405e-12      -7.084300275015e-15 
   42       1.743893869245e-10       9.345692971031e-15       2.342742642848e-13       0.000000000000e+00       7.811226148245e-11       8.150608330879e-12      -6.740044102403e-15 
   43       1.769511645703e-10       1.010614717643e-14       2.227202062854e-13       0.000000000000e+00       7.437108303198e-11       7.788684130412e-12      -6.769454290394e-15 
   44       1.795229800374e-10       1.090475184496e-14       2.097933458872e-13       0.000000000000e+00       7.086511169242e-11       7.452063763781e-12      -7.121306997871e-15 
   45       1.821129668973e-10       1.174219203686e-14       1.954049836111e-13       0.000000000000e+00       6.759079667019e-11       7.139425112951e-12      -7.679553498829e-15 
   46       1.847275585385e-10       1.261912478534e-14       1.794547215772e-13       0.000000000000e+00       6.453283973873e-11       6.848069338151e-12      -8.301458569406e-15 
   47       1.873712801205e-10       1.353617808081e-14       1.618296695166e-13       0.000000000000e+00       6.166327921113e-11       6.573817712939e-12      -8.816037453951e-15 
   48       1.900466686667e-10       1.449388049983e-14       1.424260869241e-13       0.000000000000e+00       5.895010248831e-11       6.312217377188e-12      -9.070820420470e-15 
   49       1.927544921514e-10       1.549242900489e-14       1.212233762060e-13       0.000000000000e+00       5.638809195059e-11       6.062801231857e-12      -9.091381691295e-15 
   50       1.954932347239e-10       1.653185394505e-14       9.822958313331e-14       0.000000000000e+00       5.397510030729e-11       5.825851607464e-12      -8.964094296818e-15 
   51       1.982587774097e-10       1.761207825431e-14       7.346112385564e-14       0.000000000000e+00       5.170286188580e-11       5.601160700196e-12      -8.792609159978e-15 
