# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383862224625e-10       4.186242390324e-15       3.523186282797e-13       0.000000000000e+00       8.322828426644e-09       4.574456247167e-10      -1.844150876300e-12 
    3       1.309627350569e-10       5.364775587616e-15       3.962660745068e-13       0.000000000000e+00       5.135058595007e-09       3.250614483994e-10      -1.396626555937e-12 
    4       1.239868436742e-10       4.639193082735e-15       3.708169925867e-13       0.000000000000e+00       3.575375884220e-09       2.465829993342e-10      -9.141702836475e-13 
    5       1.188027524705e-10       3.094478356060e-15       3.160324608114e-13       0.000000000000e+00       2.672443852354e-09       1.950760236330e-10      -5.080548409660e-13 
    6       1.152950613651e-10       1.730824034894e-15       2.547969958227e-13       0.000000000000e+00       2.090460463470e-09       1.589341050113e-10      -2.089630971843e-13 
    7       1.130598525529e-10       9.361402984940e-16       2.003588595015e-13       0.000000000000e+00       1.688831087385e-09       1.323770872820e-10      -1.836418302865e-14 
    8       1.118190579810e-10       6.045414410949e-16       1.585319085502e-13       0.000000000000e+00       1.397709405689e-09       1.122194665878e-10       7.872193206590e-14 
    9       1.113220468405e-10       4.853917157577e-16       1.306208971266e-13       0.000000000000e+00       1.178477396554e-09       9.656475490596e-11       1.056877108043e-13 
   10       1.113340634570e-10       4.141048869881e-16       1.153163545678e-13       0.000000000000e+00       1.008371462517e-09       8.414628803560e-11       8.844015807475e-14 
   11       1.117991332672e-10       3.492547662946e-16       1.099593272135e-13       0.000000000000e+00       8.500793612158e-10       7.438122243753e-11       5.114585087090e-14 
   12       1.125599619222e-10       3.062141899936e-16       1.114822462097e-13       0.000000000000e+00       7.434009308568e-10       6.580994431677e-11       1.138494458560e-14 
   13       1.135678027880e-10       2.956564096724e-16       1.171926935068e-13       0.000000000000e+00       6.557597891822e-10       5.884336207353e-11      -1.879861160842e-14 
   14       1.147769692897e-10       3.094997739568e-16       1.250580464810e-13       0.000000000000e+00       5.827897955838e-10       5.277953986855e-11      -3.517253688366e-14 
   15       1.161714385603e-10       3.361658205933e-16       1.337743694617e-13       0.000000000000e+00       5.213244057758e-10       4.767567377749e-11      -3.797051173021e-14 
   16       1.176711832676e-10       3.734141826468e-16       1.426731327812e-13       0.000000000000e+00       4.690290485636e-10       4.327018223029e-11      -3.119304980805e-14 
   17       1.193100373409e-10       4.269790643789e-16       1.515321608214e-13       0.000000000000e+00       4.241391423812e-10       3.942134932609e-11      -2.007283034125e-14 
   18       1.210209542278e-10       5.023518186883e-16       1.606033363084e-13       0.000000000000e+00       3.851526620160e-10       3.606562865640e-11      -9.526591812763e-15 
   19       1.228145864513e-10       5.998666479320e-16       1.701102801077e-13       0.000000000000e+00       3.514588747946e-10       3.315418319517e-11      -2.165199103353e-15 
   20       1.246853127565e-10       7.175157478554e-16       1.801973724157e-13       0.000000000000e+00       3.217656648500e-10       3.056641440196e-11       3.093828869783e-16 
   21       1.266337967841e-10       8.547252489514e-16       1.908124236396e-13       0.000000000000e+00       2.956113949101e-10       2.825562637358e-11      -1.507260586426e-15 
   22       1.286325020119e-10       1.011095497238e-15       2.017607263627e-13       0.000000000000e+00       2.723750047347e-10       2.616570922052e-11      -5.827192317916e-15 
   23       1.306870274957e-10       1.186885136873e-15       2.127122305185e-13       0.000000000000e+00       2.517403397327e-10       2.428983507267e-11      -1.088320680995e-14 
   24       1.327922055620e-10       1.382373236830e-15       2.232508857146e-13       0.000000000000e+00       2.332336731490e-10       2.261280622810e-11      -1.479975020652e-14 
   25       1.349490008249e-10       1.597704701967e-15       2.330854361255e-13       0.000000000000e+00       2.166395818415e-10       2.111213995494e-11      -1.673974991084e-14 
   26       1.371446675282e-10       1.833223894762e-15       2.419657708849e-13       0.000000000000e+00       2.016599148290e-10       1.974875457145e-11      -1.637057313352e-14 
   27       1.393747794705e-10       2.091053807450e-15       2.497744439885e-13       0.000000000000e+00       1.881166145887e-10       1.850664455237e-11      -1.432600371963e-14 
   28       1.416287672656e-10       2.373845706042e-15       2.564670895385e-13       0.000000000000e+00       1.757778404872e-10       1.736897073018e-11      -1.163632900085e-14 
   29       1.439158159496e-10       2.683088866511e-15       2.621152149563e-13       0.000000000000e+00       1.645816447001e-10       1.633334730674e-11      -8.979265721361e-15 
   30       1.462399452008e-10       3.019887579223e-15       2.668671237383e-13       0.000000000000e+00       1.544089048435e-10       1.539235269352e-11      -7.043053628204e-15 
   31       1.485946818588e-10       3.385311421859e-15       2.708728526409e-13       0.000000000000e+00       1.450534591711e-10       1.452972970275e-11      -6.460832034545e-15 
   32       1.509831175778e-10       3.780500836396e-15       2.740718819558e-13       0.000000000000e+00       1.364676947347e-10       1.373716990970e-11      -7.035823622648e-15 
   33       1.534026741731e-10       4.206592591828e-15       2.763245806373e-13       0.000000000000e+00       1.285915116783e-10       1.300204824772e-11      -8.211993739329e-15 
   34       1.558437856341e-10       4.664637867271e-15       2.774754143884e-13       0.000000000000e+00       1.213154352168e-10       1.230831860117e-11      -9.373208398892e-15 
   35       1.583083535578e-10       5.155427546374e-15       2.773898540583e-13       0.000000000000e+00       1.146026936153e-10       1.165789991558e-11      -1.023423656191e-14 
   36       1.607959949342e-10       5.679592330388e-15       2.759279460116e-13       0.000000000000e+00       1.083999091356e-10       1.105599553100e-11      -1.057795012960e-14 
   37       1.633021149228e-10       6.237734392335e-15       2.729628241591e-13       0.000000000000e+00       1.026269129536e-10       1.050477451810e-11      -1.023254152623e-14 
