# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383576020159e-10       4.182499060594e-15       3.519570991538e-13       0.000000000000e+00       8.366430385632e-09       4.599822983131e-10      -1.842237171764e-12 
    3       1.309045899790e-10       5.361231603647e-15       3.959270557411e-13       0.000000000000e+00       5.153523545316e-09       3.259590321361e-10      -1.395578468801e-12 
    4       1.239299898314e-10       4.636798090922e-15       3.705532627345e-13       0.000000000000e+00       3.574308732057e-09       2.467632854558e-10      -9.136526978846e-13 
    5       1.187534684155e-10       3.093263517367e-15       3.158570326942e-13       0.000000000000e+00       2.662607173511e-09       1.949506410579e-10      -5.078354151659e-13 
    6       1.152533448603e-10       1.730285862414e-15       2.546877335091e-13       0.000000000000e+00       2.076567692451e-09       1.586574311122e-10      -2.088732065817e-13 
    7       1.130252792402e-10       9.359301977588e-16       2.002953661164e-13       0.000000000000e+00       1.672981983159e-09       1.320116122958e-10      -1.832981721810e-14 
    8       1.117903267198e-10       6.044689928264e-16       1.584967325546e-13       0.000000000000e+00       1.381178494176e-09       1.118030796463e-10       7.873696455599e-14 
    9       1.112981060496e-10       4.853770469233e-16       1.306024073349e-13       0.000000000000e+00       1.162165123597e-09       9.612734935299e-11       1.056971329217e-13 
   10       1.113144891344e-10       4.141147419681e-16       1.153073309655e-13       0.000000000000e+00       9.928297120400e-10       8.370672256533e-11       8.844703108940e-14 
   11       1.117830362411e-10       3.492740029979e-16       1.099561747570e-13       0.000000000000e+00       8.501377364787e-10       7.439239876181e-11       5.114900468642e-14 
