# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383581206501e-10       4.182759508849e-15       3.519570950578e-13       2.604482362218e-19       8.366430385632e-09       4.599822983131e-10      -1.842237171764e-12 
    3       1.309056247586e-10       5.361752619038e-15       3.959270374719e-13       5.210152021917e-19       5.153523545316e-09       3.259590321361e-10      -1.395578468801e-12 
    4       1.239317090014e-10       4.637666711405e-15       3.705532101830e-13       8.686195575086e-19       3.574308732057e-09       2.467632854558e-10      -9.136526978846e-13 
    5       1.187560370882e-10       3.094566932005e-15       3.158569128153e-13       1.303411483441e-18       2.662607173511e-09       1.949506410579e-10      -5.078354151659e-13 
    6       1.152569243868e-10       1.732111442926e-15       2.546874974126e-13       1.825571958726e-18       2.076567692451e-09       1.586574311122e-10      -2.088732065817e-13 
    7       1.130300266766e-10       9.383655261409e-16       2.002949463588e-13       2.435308624399e-18       1.672981983159e-09       1.320116122958e-10      -1.832981721810e-14 
    8       1.117963943992e-10       6.076018844796e-16       1.584960406628e-13       3.132851165913e-18       1.381178494176e-09       1.118030796463e-10       7.873696455599e-14 
    9       1.113056412682e-10       4.892955688215e-16       1.306013315887e-13       3.918446377046e-18       1.162165123597e-09       9.612734935299e-11       1.056971329217e-13 
   10       1.113236339545e-10       4.189072255231e-16       1.153057344583e-13       4.792353079452e-18       9.928297120400e-10       8.370672256533e-11       8.844703108940e-14 
   11       1.117939274114e-10       3.550290513931e-16       1.099538937490e-13       5.754837074132e-18       8.501377364787e-10       7.439239876181e-11       5.114900468642e-14 
   12       1.125599043905e-10       3.130436252512e-16       1.114809945994e-13       6.806166296525e-18       7.434553950968e-10       6.582208398867e-11       1.138450602122e-14 
   13       1.135727955501e-10       3.036284486161e-16       1.171944955880e-13       7.946606335569e-18       6.558066005087e-10       5.885398850753e-11      -1.880226923465e-14 
   14       1.147854767678e-10       3.187019054235e-16       1.250616973776e-13       9.176416459361e-18       5.828287279467e-10       5.278579370929e-11      -3.517804856969e-14 
   15       1.161834883892e-10       3.466851301574e-16       1.337800637037e-13       1.049584626684e-17       5.213604306321e-10       4.767742770444e-11      -3.797626603293e-14 
   16       1.176876081494e-10       3.853393633136e-16       1.426806307210e-13       1.190513305701e-17       4.690618471413e-10       4.326959942001e-11      -3.119762139538e-14 
   17       1.193302062600e-10       4.404020575247e-16       1.515405079169e-13       1.340449997608e-17       4.241682493600e-10       3.941962916954e-11      -2.007541641787e-14 
   18       1.210446633465e-10       5.173675480875e-16       1.606127885865e-13       1.499415459631e-17       3.851824801076e-10       3.606181264081e-11      -9.527368924556e-15 
   19       1.228418213904e-10       6.165689899508e-16       1.701211490778e-13       1.667429052966e-17       3.514809145073e-10       3.314776944669e-11      -2.164700002467e-15 
   20       1.247159580556e-10       7.359971531635e-16       1.802093141702e-13       1.844508387402e-17       3.217842455582e-10       3.055915799945e-11       3.103942150137e-16 
   21       1.266676889428e-10       8.750846144125e-16       1.908241585132e-13       2.030669978386e-17       2.956289744953e-10       2.824909144016e-11      -1.507182427674e-15 
   22       1.286696760016e-10       1.033434933857e-15       2.017707713940e-13       2.225928853477e-17       2.723887723910e-10       2.616032927160e-11      -5.829492668641e-15 
   23       1.307287566376e-10       1.211275905439e-15       2.127235068481e-13       2.430299413567e-17       2.517550036562e-10       2.428539887490e-11      -1.088494130306e-14 
   24       1.328400657271e-10       1.408870560049e-15       2.232683008760e-13       2.643794976404e-17       2.332590491557e-10       2.260848828455e-11      -1.479565896319e-14 
   25       1.349978305547e-10       1.626498445343e-15       2.330934114632e-13       2.866428650148e-17       2.166517866449e-10       2.110630838071e-11      -1.674273816932e-14 
   26       1.371834057279e-10       1.864604697712e-15       2.419309238605e-13       3.098213030304e-17       2.016099373067e-10       1.974019419095e-11      -1.639742940530e-14 
   27       1.394064098019e-10       2.124917908508e-15       2.497087133884e-13       3.339161539617e-17       1.880565904003e-10       1.850092274037e-11      -1.428547015071e-14 
   28       1.416699142559e-10       2.409805780592e-15       2.564397511265e-13       3.589287469440e-17       1.758285948862e-10       1.737355312331e-11      -1.143428548098e-14 
   29       1.439633752192e-10       2.721659461969e-15       2.621684691859e-13       3.848604000239e-17       1.646303952582e-10       1.633193756327e-11      -8.988907067818e-15 
   30       1.462933685041e-10       3.061642711217e-15       2.669428263763e-13       4.117125714435e-17       1.544009511651e-10       1.537489998410e-11      -7.342982714883e-15 
   31       1.486613948002e-10       3.430436867446e-15       2.708358092236e-13       4.394867760282e-17       1.450649251877e-10       1.450204479186e-11      -6.674544165893e-15 
   32       1.510591392538e-10       3.828669248557e-15       2.739140396310e-13       4.681845652701e-17       1.364753453401e-10       1.370578426409e-11      -7.066661196703e-15 
   33       1.534859571890e-10       4.257357411977e-15       2.760941454699e-13       4.978075716342e-17       1.285858943096e-10       1.297949321680e-11      -8.158528246603e-15 
   34       1.559353689250e-10       4.717618090673e-15       2.772320311006e-13       5.283574920573e-17       1.213271818485e-10       1.231087976423e-11      -9.350803228355e-15 
   35       1.583960026784e-10       5.210530667069e-15       2.771742312709e-13       5.598360475507e-17       1.145917355526e-10       1.168407927101e-11      -1.004112568567e-14 
   36       1.608750815912e-10       5.737072939375e-15       2.758134707757e-13       5.922448586621e-17       1.083623675993e-10       1.109700148230e-11      -1.016551527257e-14 
   37       1.633815882713e-10       6.298157172386e-15       2.730505337750e-13       6.255855351410e-17       1.026198109928e-10       1.054916314724e-11      -9.840775201533e-15 
   38       1.659192106999e-10       6.894641821436e-15       2.687788603703e-13       6.598597136434e-17       9.730390027209e-11       1.003668022589e-11      -9.224972518581e-15 
   39       1.684872943892e-10       7.527324924118e-15       2.629098474993e-13       6.950689715230e-17       9.233533623603e-11       9.554110309248e-12      -8.496217543876e-15 
   40       1.710856768393e-10       8.196931644232e-15       2.554604409486e-13       7.312145238473e-17       8.769909099266e-11       9.101522757898e-12      -7.772899319390e-15 
   41       1.737104089171e-10       8.904115542454e-15       2.464945089064e-13       7.682974292592e-17       8.338312218406e-11       8.679297605549e-12      -7.171343737855e-15 
   42       1.763517684439e-10       9.649456394329e-15       2.361009937810e-13       8.063186678475e-17       7.935348123230e-11       8.286011041142e-12      -6.828905803546e-15 
   43       1.789988973427e-10       1.043350790462e-14       2.243599642237e-13       8.452790370514e-17       7.556690982764e-11       7.919145282898e-12      -6.861491018719e-15 
   44       1.816567068451e-10       1.125696896745e-14       2.112247123768e-13       8.851788082036e-17       7.201768634599e-11       7.577861127079e-12      -7.217465744479e-15 
   45       1.843333426374e-10       1.212055844957e-14       1.966053201324e-13       9.260179574759e-17       6.870228159405e-11       7.260820628979e-12      -7.780206319534e-15 
   46       1.870352710747e-10       1.302496672168e-14       1.804000716672e-13       9.677962481317e-17       6.560529102571e-11       6.965291142436e-12      -8.406283753977e-15 
   47       1.897670725228e-10       1.397085459315e-14       1.624946533838e-13       1.010513220937e-16       6.269850830814e-11       6.687040786679e-12      -8.923893925282e-15 
   48       1.925313272582e-10       1.495878205137e-14       1.427840107685e-13       1.054168165379e-16       5.994962823452e-11       6.421560767611e-12      -9.179882085267e-15 
   49       1.953287173333e-10       1.598897321224e-14       1.212470713865e-13       1.098760046112e-16       5.735341811203e-11       6.168383692787e-12      -9.200154092643e-15 
   50       1.981575983650e-10       1.706148328168e-14       9.789171079346e-14       1.144287539302e-16       5.490774148909e-11       5.927802936853e-12      -9.071786043222e-15 
   51       2.010137125195e-10       1.817625843375e-14       7.273428180373e-14       1.190749039700e-16       5.260427154906e-11       5.699616136975e-12      -8.899265017374e-15 
   52       2.038899865769e-10       1.933313116380e-14       4.579997039653e-14       1.238142650077e-16       5.042805596952e-11       5.483088356334e-12      -8.805398577608e-15 
   53       2.067792789348e-10       2.053193399399e-14       1.710946949338e-14       1.286466353247e-16       4.836222398728e-11       5.277270619589e-12      -8.899968367012e-15 
   54       2.096839147320e-10       2.177288561188e-14      -1.336584197730e-14       1.335718604402e-16       4.640453023830e-11       5.082136474348e-12      -9.174134279510e-15 
   55       2.126082506697e-10       2.305629592601e-14      -4.566998323418e-14       1.385897872675e-16       4.455430666005e-11       4.897673487600e-12      -9.580462200599e-15 
   56       2.155558641620e-10       2.438245671351e-14      -7.984991121141e-14       1.437002469031e-16       4.280747806197e-11       4.723532013057e-12      -1.006237017041e-14 
   57       2.185294750463e-10       2.575164193568e-14      -1.159557383264e-13       1.489030543355e-16       4.115634259100e-11       4.559003254937e-12      -1.055368543267e-14 
   58       2.215308672934e-10       2.716410805369e-14      -1.540409502475e-13       1.541980081544e-16       3.958935219695e-11       4.402997331760e-12      -1.097820148373e-14 
   59       2.245611860383e-10       2.861996281793e-14      -1.941477941454e-13       1.595849197556e-16       3.809429736891e-11       4.254338854136e-12      -1.126779424521e-14 
   60       2.276220870360e-10       3.011873533703e-14      -2.362589863475e-13       1.650637095393e-16       3.666922360559e-11       4.112783636054e-12      -1.142268946703e-14 
   61       2.307147162518e-10       3.165970654643e-14      -2.803351547052e-13       1.706343325768e-16       3.531366658373e-11       3.978199744708e-12      -1.146443323010e-14 
   62       2.338392937822e-10       3.324202789766e-14      -3.263284029273e-13       1.762967517731e-16       3.402536877971e-11       3.850259801690e-12      -1.141874578395e-14 
   63       2.369950482877e-10       3.486471721538e-14      -3.741820256517e-13       1.820509385749e-16       3.280017533403e-11       3.728429809961e-12      -1.131570771852e-14 
   64       2.401801514260e-10       3.652665455453e-14      -4.238302235179e-13       1.878968736795e-16       3.163192991575e-11       3.611957980833e-12      -1.118994613603e-14 
   65       2.433926540776e-10       3.822671674351e-14      -4.752130885699e-13       1.938345599782e-16       3.051417699316e-11       3.500081992920e-12      -1.107300316585e-14 
   66       2.466336727561e-10       3.996422343769e-14      -5.283258891720e-13       1.998640629790e-16       2.944592157076e-11       3.392726882933e-12      -1.096814481927e-14 
   67       2.499047628111e-10       4.173857840566e-14      -5.831797442907e-13       2.059854802371e-16       2.842690671726e-11       3.289935419981e-12      -1.087053412195e-14 
   68       2.532069393372e-10       4.354913892011e-14      -6.397874137341e-13       2.121989309065e-16       2.745586218967e-11       3.191657747023e-12      -1.077454611410e-14 
   69       2.565406396295e-10       4.539521549429e-14      -6.981634403667e-13       2.185045567915e-16       2.653045082657e-11       3.097746317827e-12      -1.067373534661e-14 
   70       2.599056856383e-10       4.727607161845e-14      -7.583242923232e-13       2.249025233974e-16       2.564721494149e-11       3.007950833936e-12      -1.056080337715e-14 
   71       2.633012464239e-10       4.919092349629e-14      -8.202885052233e-13       2.313930209814e-16       2.480152271616e-11       2.921913181624e-12      -1.042756626622e-14 
   72       2.667264320363e-10       5.113889221353e-14      -8.840669333621e-13       2.379762422005e-16       2.398876163217e-11       2.839264154956e-12      -1.026741706698e-14 
   73       2.701822905602e-10       5.311885020029e-14      -9.496310208473e-13       2.446523077535e-16       2.320830309897e-11       2.759946370159e-12      -1.008333274529e-14 
   74       2.736701283379e-10       5.512954468364e-14      -1.016938668756e-12       2.514213282986e-16       2.246020550348e-11       2.683944473530e-12      -9.881352603702e-15 
   75       2.771908897738e-10       5.716964131758e-14      -1.085943504341e-12       2.582834270996e-16       2.174400989268e-11       2.611186154783e-12      -9.668243509779e-15 
   76       2.807451342058e-10       5.923772283336e-14      -1.156594797421e-12       2.652387405427e-16       2.105871483800e-11       2.541539407885e-12      -9.451524355540e-15 
   77       2.843330127763e-10       6.133228768999e-14      -1.228837376775e-12       2.722874186526e-16       2.040275129989e-11       2.474809791912e-12      -9.239490516884e-15 
   78       2.879542453031e-10       6.345174872459e-14      -1.302611546532e-12       2.794296256099e-16       1.977395749231e-11       2.410737691883e-12      -9.041238313011e-15 
   79       2.916080971508e-10       6.559443180285e-14      -1.377853002565e-12       2.866655402670e-16       1.916955374721e-11       2.348995579615e-12      -8.866689465849e-15 
   80       2.952938306595e-10       6.775863395404e-14      -1.454498713392e-12       2.939953394614e-16       1.858683401062e-11       2.289269348441e-12      -8.724254594292e-15 
   81       2.990122006003e-10       6.994281237213e-14      -1.532505923009e-12       3.014191434810e-16       1.802543392813e-11       2.231524610480e-12      -8.613302585024e-15 
   82       3.027641774233e-10       7.214542592776e-14      -1.611836311027e-12       3.089370620270e-16       1.748541260772e-11       2.175781862312e-12      -8.530421934978e-15 
   83       3.065504816474e-10       7.436487835473e-14      -1.692450347710e-12       3.165492107705e-16       1.696655929164e-11       2.122035354709e-12      -8.471646592198e-15 
