# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042074545152e-05       4.834769016563e+01 
       2.327567964668e-05       1.050814491395e+02 
       3.617561717612e-05       1.608901965227e+02 
       4.915512597041e-05       2.163466341731e+02 
       6.224934323933e-05       2.717806365415e+02 
       7.549428752096e-05       3.274418605755e+02 
       8.892718066764e-05       3.835453647547e+02 
       1.025867840357e-04       4.402903719357e+02 
       1.165137531779e-04       4.978699069805e+02 
       1.307510153722e-04       5.564766771612e+02 
       1.453441743253e-04       6.163071819981e+02 
       1.603419463355e-04       6.775649366692e+02 
       1.757966320217e-04       7.404632546421e+02 
       1.917646273718e-04       8.052277920000e+02 
       2.083069772164e-04       8.720990068719e+02 
       2.254899731890e-04       9.413346053112e+02 
       2.433857966059e-04       1.013211991339e+03 
       2.620732042917e-04       1.088030764003e+03 
       2.816382519067e-04       1.166115215757e+03 
       3.021750444948e-04       1.247816809482e+03 
       3.237864973836e-04       1.333516554543e+03 
       3.465850818369e-04       1.423627172560e+03 
       3.706935186177e-04       1.518594895990e+03 
       3.962453686033e-04       1.618900690170e+03 
       4.233854528142e-04       1.725060622386e+03 
       4.522700151718e-04       1.837625037844e+03 
       4.830665212753e-04       1.957176132496e+03 
       5.159529679278e-04       2.084323457470e+03 
       5.511165650117e-04       2.219696850363e+03 
       5.887516492798e-04       2.363936343596e+03 
       6.290567058962e-04       2.517678621168e+03 
       6.722304159292e-04       2.681539916636e+03 
       7.184667229350e-04       2.856095411589e+03 
       7.679490213574e-04       3.041855808154e+03 
       8.208437077036e-04       3.239242200640e+03 
       8.772934852100e-04       3.448560936684e+03 
       9.374109452767e-04       3.669980755999e+03 
       1.001273028386e-03       3.903514577281e+03 
       1.068916959950e-03       4.149008244779e+03 
       1.140338144261e-03       4.406137942987e+03 
       1.215490290275e-03       4.674416860219e+03 
       1.294287772950e-03       4.953210547818e+03 
       1.376609959948e-03       5.241759608077e+03 
       1.462307014391e-03       5.539211232328e+03 
       1.551206561799e-03       5.844641152107e+03 
       1.643120596178e-03       6.157084385638e+03 
       1.737852080844e-03       6.475564236416e+03 
       1.835200839511e-03       6.799116289389e+03 
       1.934968493495e-03       7.126808111810e+03 
       2.036962349406e-03       7.457753350004e+03 
       2.140998258650e-03       7.791121146520e+03 
       2.246902548591e-03       8.126141907500e+03 
       2.354513167637e-03       8.462109187735e+03 
       2.463680200365e-03       8.798380931217e+03 
       2.574265903132e-03       9.134377939648e+03 
       2.686144393533e-03       9.469581506410e+03 
       2.799201105028e-03       9.803528952957e+03 
       2.913332095218e-03       1.013580899140e+04 
       3.028443275199e-03       1.046605747161e+04 
       3.144449609409e-03       1.079395313415e+04 
