# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042074545152e-05       4.833604337276e+01 
       2.327567964668e-05       1.050561925662e+02 
       3.617561717612e-05       1.608516808528e+02 
       4.915512597041e-05       2.162951419884e+02 
       6.224934323933e-05       2.717164432997e+02 
       7.549428752096e-05       3.273652580218e+02 
       8.892718066764e-05       3.834566749165e+02 
       1.025867840357e-04       4.401899582116e+02 
       1.165137531779e-04       4.977581846070e+02 
       1.307510153722e-04       5.563541240801e+02 
       1.453441743253e-04       6.161743506748e+02 
       1.603419463355e-04       6.774224672121e+02 
       1.757966320217e-04       7.403118894452e+02 
       1.917646273718e-04       8.050683920518e+02 
       2.083069772164e-04       8.719325697624e+02 
       2.254899731890e-04       9.411622848347e+02 
       2.433857966059e-04       1.013035118406e+03 
       2.620732042917e-04       1.087850868290e+03 
       2.816382519067e-04       1.165934047145e+03 
       3.021750444948e-04       1.247636357823e+03 
       3.237864973836e-04       1.333339065577e+03 
       3.465850818369e-04       1.423455156980e+03 
       3.706935186177e-04       1.518431127594e+03 
       3.962453686033e-04       1.618748187938e+03 
       4.233854528142e-04       1.724922610297e+03 
       4.522700151718e-04       1.837504875675e+03 
       4.830665212753e-04       1.957077211203e+03 
       5.159529679278e-04       2.084249054966e+03 
       5.511165650117e-04       2.219649948479e+03 
       5.887516492798e-04       2.363919415818e+03 
       6.290567058962e-04       2.517693413748e+03 
       6.722304159292e-04       2.681587261900e+03 
       7.184667229350e-04       2.856175127731e+03 
       7.679490213574e-04       3.041966746979e+03 
       8.208437077036e-04       3.239382492491e+03 
       8.772934852100e-04       3.448728439522e+03 
       9.374109452767e-04       3.670173641198e+03 
       1.001273028386e-03       3.903731895594e+03 
       1.068916959950e-03       4.149250255461e+03 
       1.140338144261e-03       4.406406015381e+03 
       1.215490290275e-03       4.674712907785e+03 
       1.294287772950e-03       4.953536195732e+03 
       1.376609959948e-03       5.242115500638e+03 
       1.462307014391e-03       5.539596886786e+03 
       1.551206561799e-03       5.845055479490e+03 
       1.643120596178e-03       6.157526560668e+03 
       1.737852080844e-03       6.476034315563e+03 
       1.835200839511e-03       6.799615123618e+03 
       1.934968493495e-03       7.127336633904e+03 
       2.036962349406e-03       7.458311828857e+03 
       2.140998258650e-03       7.791709030677e+03 
       2.246902548591e-03       8.126758359647e+03 
       2.354513167637e-03       8.462753788909e+03 
       2.463680200365e-03       8.799053898587e+03 
       2.574265903132e-03       9.135079694435e+03 
       2.686144393533e-03       9.470312065748e+03 
       2.799201105028e-03       9.804287762632e+03 
       2.913332095218e-03       1.013659532948e+04 
       3.028443275199e-03       1.046687095998e+04 
       3.144449609409e-03       1.079479381848e+04 
       3.261274320636e-03       1.112008200954e+04 
       3.378848123399e-03       1.144248879675e+04 
       3.497108500200e-03       1.176179877961e+04 
       3.615999028797e-03       1.207782524495e+04 
       3.735468764111e-03       1.239040619376e+04 
       3.855471675280e-03       1.269940257146e+04 
       3.975966136338e-03       1.300469540720e+04 
       4.096914467711e-03       1.330618371349e+04 
       4.218282525000e-03       1.360378291949e+04 
       4.340039331212e-03       1.389742236360e+04 
       4.462156748480e-03       1.418704448352e+04 
       4.584609185435e-03       1.447260290697e+04 
       4.707373336581e-03       1.475406005294e+04 
       4.830427950256e-03       1.503138500396e+04 
       4.953753622085e-03       1.530457096064e+04 
       5.077332611070e-03       1.557359605865e+04 
       5.201148675776e-03       1.583845342047e+04 
       5.325186928340e-03       1.609914035290e+04 
       5.449433704249e-03       1.635566160411e+04 
       5.573876446102e-03       1.660802483042e+04 
       5.698503599749e-03       1.685624184237e+04 
       5.823304521390e-03       1.710032765133e+04 
       5.948269394385e-03       1.734030004421e+04 
       6.073389154695e-03       1.757617983712e+04 
       6.198655423946e-03       1.780798963581e+04 
       6.324060449299e-03       1.803575476285e+04 
       6.449597049348e-03       1.825950154831e+04 
       6.575258565384e-03       1.847925882351e+04 
       6.701038817448e-03       1.869505547757e+04 
       6.826932064642e-03       1.890692249543e+04 
       6.952932969257e-03       1.911488933206e+04 
       7.079036564289e-03       1.931899230039e+04 
       7.205238224011e-03       1.951926211560e+04 
       7.331533637267e-03       1.971573062534e+04 
       7.457918783209e-03       1.990843165763e+04 
       7.584389909239e-03       2.009740076694e+04 
       7.710943510916e-03       2.028267102437e+04 
       7.837576313644e-03       2.046427873550e+04 
       7.964285255966e-03       2.064225702438e+04 
       8.091067474294e-03       2.081663969894e+04 
       8.217920288951e-03       2.098746231865e+04 
       8.344841191396e-03       2.115476349604e+04 
       8.471827832507e-03       2.131857224347e+04 
       8.598878011848e-03       2.147893059117e+04 
       8.725989667799e-03       2.163586304926e+04 
       8.853160868501e-03       2.178941006150e+04 
       8.980389803518e-03       2.193960388049e+04 
       9.107674776158e-03       2.208648677023e+04 
       9.235014196412e-03       2.223007600661e+04 
       9.362406574423e-03       2.237041204227e+04 
       9.489850514476e-03       2.250753244229e+04 
       9.617344709438e-03       2.264147298931e+04 
       9.744887935619e-03       2.277225351189e+04 
       9.872479048024e-03       2.289991370575e+04 
       1.000011697596e-02       2.302449151151e+04 
       1.012780071894e-02       2.314601252634e+04 
       1.025552934295e-02       2.326450405226e+04 
       1.038330197691e-02       2.337999959723e+04 
       1.051111780946e-02       2.349255057389e+04 
       1.063897608593e-02       2.360215663849e+04 
       1.076687610554e-02       2.370887080553e+04 
       1.089481721880e-02       2.381270969572e+04 
       1.102279882511e-02       2.391371434137e+04 
       1.115082037053e-02       2.401190885119e+04 
       1.127888134562e-02       2.410732097278e+04 
       1.140698128360e-02       2.419999108511e+04 
       1.153511975847e-02       2.428993388794e+04 
       1.166329638336e-02       2.437718764395e+04 
