# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381673069287e-10       4.179498837385e-15       3.519337738667e-13       0.000000000000e+00       8.236366652982e-09       4.535749167067e-10      -1.842358957478e-12 
    3       1.306686374556e-10       5.354348398553e-15       3.955014314016e-13       0.000000000000e+00       5.068757517414e-09       3.217364113122e-10      -1.394919766580e-12 
    4       1.236001310759e-10       4.628866088948e-15       3.698085506565e-13       0.000000000000e+00       3.524742105639e-09       2.436991825968e-10      -9.127421027235e-13 
    5       1.183077655188e-10       3.086039326339e-15       3.148769036895e-13       0.000000000000e+00       2.631981203736e-09       1.925371344492e-10      -5.069338368273e-13 
    6       1.146783122725e-10       1.724512605076e-15       2.535648448997e-13       0.000000000000e+00       2.056888509521e-09       1.566794325250e-10      -2.081011187232e-13 
    7       1.123124174257e-10       9.315385411956e-16       1.990693137717e-13       0.000000000000e+00       1.660294230823e-09       1.303591114947e-10      -1.764532587884e-14 
    8       1.109310011096e-10       6.011011126378e-16       1.571594881241e-13       0.000000000000e+00       1.372928376251e-09       1.103949056489e-10       7.941421021848e-14 
    9       1.102859675946e-10       4.824287604066e-16       1.291089022191e-13       0.000000000000e+00       1.156604896180e-09       9.490265395421e-11       1.064376993360e-13 
   10       1.101460866723e-10       4.107509608109e-16       1.135896104204e-13       0.000000000000e+00       9.888544495492e-10       8.262994307378e-11       8.927916835680e-14 
   11       1.104531542173e-10       3.446472684723e-16       1.079391200035e-13       0.000000000000e+00       8.333863059751e-10       7.300971682217e-11       5.203134740906e-14 
   12       1.110547411476e-10       2.997606368816e-16       1.090990730300e-13       0.000000000000e+00       7.283543641091e-10       6.455549428925e-11       1.227605950098e-14 
   13       1.119007856965e-10       2.870889590736e-16       1.143861841660e-13       0.000000000000e+00       6.421128145128e-10       5.769089774026e-11      -1.798983929055e-14 
   14       1.129451066863e-10       2.986644531665e-16       1.217805184683e-13       0.000000000000e+00       5.703455781539e-10       5.171511921824e-11      -3.451226532501e-14 
   15       1.141732885510e-10       3.227441575529e-16       1.299914922970e-13       0.000000000000e+00       5.099237755923e-10       4.668912976637e-11      -3.750061342283e-14 
   16       1.155092575531e-10       3.568046850027e-16       1.383565926710e-13       0.000000000000e+00       4.585412741049e-10       4.235533699287e-11      -3.091265883251e-14 
   17       1.169820583126e-10       4.063743780534e-16       1.466585742801e-13       0.000000000000e+00       4.144556505076e-10       3.857208470501e-11      -1.994054321042e-14 
   18       1.185280804252e-10       4.768833319009e-16       1.551534871578e-13       0.000000000000e+00       3.761849431767e-10       3.527362450035e-11      -9.473547477361e-15 
   19       1.201584743704e-10       5.686591947513e-16       1.640634620411e-13       0.000000000000e+00       3.431244934173e-10       3.241202365080e-11      -2.117102032115e-15 
   20       1.218661840662e-10       6.797013309257e-16       1.735298839781e-13       0.000000000000e+00       3.140016637539e-10       2.987017825769e-11       4.179096156703e-16 
   21       1.236524483205e-10       8.093671602881e-16       1.835055060501e-13       0.000000000000e+00       2.883604492205e-10       2.760236930523e-11      -1.297046898731e-15 
   22       1.254908848093e-10       9.571662249729e-16       1.938031808070e-13       0.000000000000e+00       2.655889284276e-10       2.555306583942e-11      -5.508306516967e-15 
   23       1.273866916971e-10       1.123297597449e-15       2.040958976559e-13       0.000000000000e+00       2.453750773680e-10       2.371463758722e-11      -1.047332138810e-14 
   24       1.293339544141e-10       1.307992411982e-15       2.139692364182e-13       0.000000000000e+00       2.272526315273e-10       2.207118836507e-11      -1.433779344926e-14 
   25       1.313342315321e-10       1.511336958866e-15       2.231350752778e-13       0.000000000000e+00       2.110091068349e-10       2.060098730908e-11      -1.626981543688e-14 
   26       1.333757326746e-10       1.733606199258e-15       2.313464524579e-13       0.000000000000e+00       1.963511468019e-10       1.926629724343e-11      -1.593278213927e-14 
   27       1.354538799540e-10       1.976814214712e-15       2.384867842851e-13       0.000000000000e+00       1.831033774660e-10       1.805080785924e-11      -1.394315036614e-14 
   28       1.375576414710e-10       2.243492562356e-15       2.445111908334e-13       0.000000000000e+00       1.710378719037e-10       1.693711469804e-11      -1.130849643135e-14 
   29       1.396961320480e-10       2.535047948062e-15       2.494895157027e-13       0.000000000000e+00       1.600933499540e-10       1.592300674058e-11      -8.694833146022e-15 
   30       1.418734661972e-10       2.852515655837e-15       2.535672076760e-13       0.000000000000e+00       1.501526529684e-10       1.500176429290e-11      -6.780689780781e-15 
   31       1.440832884551e-10       3.196896405324e-15       2.568919751481e-13       0.000000000000e+00       1.410134417035e-10       1.415800474111e-11      -6.191301586693e-15 
   32       1.463286468533e-10       3.569248633368e-15       2.594077077188e-13       0.000000000000e+00       1.326287209237e-10       1.338348079189e-11      -6.736429404843e-15 
   33       1.486068894432e-10       3.970622514164e-15       2.609821438987e-13       0.000000000000e+00       1.249393560231e-10       1.266546409356e-11      -7.873486797874e-15 
   34       1.509084256032e-10       4.401984392859e-15       2.614676055057e-13       0.000000000000e+00       1.178379361249e-10       1.198787939839e-11      -9.000870351477e-15 
   35       1.532352631195e-10       4.864052023911e-15       2.607345186129e-13       0.000000000000e+00       1.112882490202e-10       1.135259202703e-11      -9.838996927021e-15 
   36       1.555872194629e-10       5.357388662866e-15       2.586472416774e-13       0.000000000000e+00       1.052378918525e-10       1.076480817777e-11      -1.017413431930e-14 
   37       1.579598905058e-10       5.882529255683e-15       2.550825733995e-13       0.000000000000e+00       9.960828828226e-11       1.022675901118e-11      -9.836696019669e-15 
   38       1.603574661644e-10       6.440294826230e-15       2.500275320948e-13       0.000000000000e+00       9.438498618118e-11       9.736267118399e-12      -8.978769612450e-15 
   39       1.627830055928e-10       7.031575671942e-15       2.435146009474e-13       0.000000000000e+00       8.955149804353e-11       9.287173305837e-12      -7.892099366273e-15 
   40       1.652342863457e-10       7.657245916526e-15       2.355971659042e-13       0.000000000000e+00       8.506183131305e-11       8.869303347038e-12      -6.939708716615e-15 
   41       1.677064537407e-10       8.318118213245e-15       2.263282505733e-13       0.000000000000e+00       8.085653069438e-11       8.471571123003e-12      -6.460786338935e-15 
   42       1.702023594777e-10       9.014792576546e-15       2.156853723401e-13       0.000000000000e+00       7.692327436003e-11       8.093285375590e-12      -6.437048288337e-15 
   43       1.727246410761e-10       9.747756620285e-15       2.036233409549e-13       0.000000000000e+00       7.325167089203e-11       7.735975869502e-12      -6.725507555599e-15 
   44       1.752724641849e-10       1.051742159391e-14       1.900943842727e-13       0.000000000000e+00       6.981507432944e-11       7.400194340048e-12      -7.146599371995e-15 
   45       1.778432136969e-10       1.132416336021e-14       1.750496928038e-13       0.000000000000e+00       6.658011371354e-11       7.085660696203e-12      -7.523950985900e-15 
