# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537658061e+01 
       2.326965112994e-05       1.050300519718e+02 
       3.616368418034e-05       1.608004190826e+02 
       4.913719193480e-05       2.162184423365e+02 
       6.222526308808e-05       2.716135682764e+02 
       7.546386576344e-05       3.272350782429e+02 
       8.889016875518e-05       3.832976871797e+02 
       1.025428769313e-04       4.400002621764e+02 
       1.164625850822e-04       4.975354601436e+02 
       1.306921545348e-04       5.560955876929e+02 
       1.452771168578e-04       6.158767102898e+02 
       1.602661089286e-04       6.770818631010e+02 
       1.757113434590e-04       7.399238149070e+02 
       1.916691187203e-04       8.046276087806e+02 
       2.082003705715e-04       8.714330008250e+02 
       2.253712688491e-04       9.405968886477e+02 
       2.432538585641e-04       1.012395745879e+03 
       2.619267439530e-04       1.087128084763e+03 
       2.814758099843e-04       1.165116929664e+03 
       3.019949711088e-04       1.246712255259e+03 
       3.235869304925e-04       1.332293317092e+03 
       3.463639242877e-04       1.422270767425e+03 
       3.704484143167e-04       1.517088386226e+03 
       3.959736785986e-04       1.617224231615e+03 
       4.230842324495e-04       1.723190922296e+03 
       4.519359939257e-04       1.835534713567e+03 
       4.826960874217e-04       1.954832964929e+03 
       5.155421607080e-04       2.081689528463e+03 
       5.506610775242e-04       2.216727579526e+03 
       5.882468456576e-04       2.360579418892e+03 
       6.284976563937e-04       2.513872888928e+03 
       6.716119530946e-04       2.677214256562e+03 
       7.177835209098e-04       2.851167697886e+03 
       7.671956984077e-04       3.036232034959e+03 
       8.200149493820e-04       3.232815839791e+03 
       8.763841823298e-04       3.441212623066e+03 
       9.364163376910e-04       3.661578178683e+03 
       1.000188843120e-03       3.893912562944e+03 
       1.067739531294e-03       4.138048814875e+03 
       1.139064504489e-03       4.393650221474e+03 
       1.214118222770e-03       4.660216785127e+03 
       1.292815824085e-03       4.937100933726e+03 
       1.375037411211e-03       5.223510085435e+03 
       1.460633820754e-03       5.518572241406e+03 
       1.549433265394e-03       5.821370255368e+03 
       1.641248225604e-03       6.130931108533e+03 
       1.735882045929e-03       6.446272515157e+03 
       1.833134829652e-03       6.766426391937e+03 
       1.932808385381e-03       7.090457888262e+03 
       2.034710127534e-03       7.417479749718e+03 
       2.138655950016e-03       7.746661696685e+03 
       2.244472171370e-03       8.077237263518e+03 
       2.351996692680e-03       8.408505316335e+03 
       2.461079523784e-03       8.739830694046e+03 
       2.571582828056e-03       9.070642175703e+03 
       2.683380619173e-03       9.400428762171e+03 
       2.796358221359e-03       9.728736800202e+03 
       2.910411581825e-03       1.005516444969e+04 
       3.025446503116e-03       1.037935850629e+04 
       3.141377844999e-03       1.070100806350e+04 
       3.258128730790e-03       1.101984288219e+04 
       3.375629781505e-03       1.133562625213e+04 
       3.493818392485e-03       1.164815371842e+04 
       3.612638060755e-03       1.195724833873e+04 
       3.732037766814e-03       1.226275945085e+04 
       3.851971411454e-03       1.256455630014e+04 
       3.972397306111e-03       1.286253077808e+04 
       4.093277713990e-03       1.315658949545e+04 
       4.214578438467e-03       1.344665876322e+04 
