# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384259903551e-10       4.191396836993e-15       3.524706469889e-13       2.336273092344e-19       8.341807337458e-09       4.597251370406e-10      -1.844649770892e-12 
    3       1.310068275972e-10       5.373749992659e-15       3.966392220327e-13       4.673468900943e-19       5.124396192287e-09       3.254254565157e-10      -1.397874833517e-12 
    4       1.240684400097e-10       4.648486977438e-15       3.713459831051e-13       7.791148604411e-19       3.550479174657e-09       2.461329529090e-10      -9.155735495191e-13 
    5       1.189267718478e-10       3.101278759259e-15       3.165639457931e-13       1.169049640935e-18       2.642832156443e-09       1.942591392156e-10      -5.092824821887e-13 
    6       1.154579160236e-10       1.734381092065e-15       2.551782664332e-13       1.637295389601e-18       2.059677709636e-09       1.579297068167e-10      -2.099097482913e-13 
    7       1.132573638209e-10       9.372466967173e-16       2.004920971289e-13       2.184019578173e-18       1.658378795454e-09       1.312672086679e-10      -1.906619446144e-14 
    8       1.120451423774e-10       6.044347437411e-16       1.583828673427e-13       2.809410232047e-18       1.368295101780e-09       1.110531872856e-10       7.817766612056e-14 
    9       1.115699591454e-10       4.851598875430e-16       1.302070909388e-13       3.513672906715e-18       1.150553016937e-09       9.537811154361e-11       1.052194547604e-13 
   10       1.115986739017e-10       4.144973085180e-16       1.146810043218e-13       4.297027479391e-18       9.822138630866e-10       8.296477501536e-11       8.800137056906e-14 
   11       1.120734325802e-10       3.506420978380e-16       1.091532056083e-13       5.159704837895e-18       8.407070777641e-10       7.367812422414e-11       5.073115318943e-14 
   12       1.128395664154e-10       3.085885892407e-16       1.105506970632e-13       6.101943549610e-18       7.347223224962e-10       6.512434110227e-11       1.101251929811e-14 
   13       1.138466828141e-10       2.987103363724e-16       1.161674546005e-13       7.123986591527e-18       6.476795070014e-10       5.817638741322e-11      -1.910013075520e-14 
   14       1.150474824023e-10       3.127897739913e-16       1.239566726519e-13       8.226078218076e-18       5.752339351656e-10       5.212525658315e-11      -3.537318859660e-14 
   15       1.164272680195e-10       3.392786712780e-16       1.326081137644e-13       9.408461036820e-18       5.142377983107e-10       4.703457733510e-11      -3.805759757899e-14 
   16       1.179090762804e-10       3.760328907094e-16       1.414463372362e-13       1.067137335342e-17       4.623613963912e-10       4.264661349874e-11      -3.117712669123e-14 
