# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384436619346e-10       4.189702293188e-15       3.524590993326e-13       0.000000000000e+00       8.356861041780e-09       4.603647890632e-10      -1.844110637818e-12 
    3       1.310165542860e-10       5.371197952679e-15       3.966067028943e-13       0.000000000000e+00       5.134882431525e-09       3.260244470997e-10      -1.397328754687e-12 
    4       1.240759123014e-10       4.646036205584e-15       3.713333981734e-13       0.000000000000e+00       3.558522729659e-09       2.466851377674e-10      -9.151005964092e-13 
    5       1.189384203315e-10       3.099650782280e-15       3.166304443497e-13       0.000000000000e+00       2.649340487874e-09       1.947666889373e-10      -5.089180029026e-13 
    6       1.154793812179e-10       1.733677198186e-15       2.553777620703e-13       0.000000000000e+00       2.065117258947e-09       1.583950774081e-10      -2.096638455299e-13 
    7       1.132923581094e-10       9.370536196451e-16       2.008589753675e-13       0.000000000000e+00       1.663026895413e-09       1.316928061922e-10      -1.893275723983e-14 
    8       1.120974428524e-10       6.041819615391e-16       1.589297812370e-13       0.000000000000e+00       1.372332877380e-09       1.114424510899e-10       7.821414744455e-14 
    9       1.116423680403e-10       4.844355572077e-16       1.309315079803e-13       0.000000000000e+00       1.154105376321e-09       9.573538326847e-11       1.051794998403e-13 
   10       1.116927641339e-10       4.131621970344e-16       1.155753225556e-13       0.000000000000e+00       9.853702738460e-10       8.329351361671e-11       8.790757714025e-14 
   11       1.121915566205e-10       3.487666097791e-16       1.102120085526e-13       0.000000000000e+00       8.435139668007e-10       7.397953809810e-11       5.061099601199e-14 
   12       1.129823810588e-10       3.063365690985e-16       1.117744590155e-13       0.000000000000e+00       7.372551086000e-10       6.540084371358e-11       1.087833388021e-14 
   13       1.140157480253e-10       2.962706258972e-16       1.175641998163e-13       0.000000000000e+00       6.499771631975e-10       5.842983082597e-11      -1.923013864182e-14 
   14       1.152444306201e-10       3.103728763165e-16       1.255384971523e-13       0.000000000000e+00       5.773278202720e-10       5.235891744508e-11      -3.549249398300e-14 
   15       1.166536553373e-10       3.371371836048e-16       1.343868707300e-13       0.000000000000e+00       5.161535436100e-10       4.725043890651e-11      -3.816081992002e-14 
   16       1.181650801378e-10       3.744653076368e-16       1.434322203670e-13       0.000000000000e+00       4.641201924679e-10       4.284538373958e-11      -3.126559903385e-14 
   17       1.198101065115e-10       4.281966770571e-16       1.524411417194e-13       0.000000000000e+00       4.194676076880e-10       3.900024493265e-11      -2.006470532272e-14 
   18       1.215220655767e-10       5.038156211005e-16       1.616746598178e-13       0.000000000000e+00       3.807029786671e-10       3.564756698016e-11      -9.483077155120e-15 
   19       1.233117932741e-10       6.016177743037e-16       1.713557311680e-13       0.000000000000e+00       3.472029863597e-10       3.273914414608e-11      -2.125332915350e-15 
   20       1.251734146322e-10       7.195553379402e-16       1.816233379683e-13       0.000000000000e+00       3.176933434684e-10       3.015775479221e-11       3.197196181949e-16 
   21       1.271076570711e-10       8.570663520715e-16       1.924271106776e-13       0.000000000000e+00       2.917112834109e-10       2.785625062860e-11      -1.545747372069e-15 
