# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833539085638e+01 
       2.326965112994e-05       1.050302373180e+02 
       3.616368418034e-05       1.608011056159e+02 
       4.913719193480e-05       2.162201502368e+02 
       6.222526308808e-05       2.716170098940e+02 
       7.546386576344e-05       3.272411745247e+02 
       8.889016875518e-05       3.833075845180e+02 
       1.025428769313e-04       4.400153658192e+02 
       1.164625850822e-04       4.975574615933e+02 
       1.306921545348e-04       5.561265139640e+02 
       1.452771168578e-04       6.159189684145e+02 
       1.602661089286e-04       6.771383068509e+02 
       1.757113434590e-04       7.399978195305e+02 
       1.916691187203e-04       8.047231637349e+02 
       2.082003705715e-04       8.715548234431e+02 
       2.253712688491e-04       9.407505586042e+02 
       2.432538585641e-04       1.012587869117e+03 
       2.619267439530e-04       1.087366493499e+03 
       2.814758099843e-04       1.165410921339e+03 
       3.019949711088e-04       1.247072893016e+03 
       3.235869304925e-04       1.332733768096e+03 
       3.463639242877e-04       1.422806735921e+03 
       3.704484143167e-04       1.517738624528e+03 
       3.959736785986e-04       1.618011151983e+03 
       4.230842324495e-04       1.724141327894e+03 
       4.519359939257e-04       1.836680668205e+03 
       4.826960874217e-04       1.956212812833e+03 
       5.155421607080e-04       2.083349085364e+03 
       5.506610775242e-04       2.218721500967e+03 
       5.882468456576e-04       2.362972753273e+03 
       6.284976563937e-04       2.516742808042e+03 
       6.716119530946e-04       2.680651927153e+03 
       7.177835209098e-04       2.855280276653e+03 
       7.671956984077e-04       3.041144700530e+03 
       8.200149493820e-04       3.238673780650e+03 
       8.763841823298e-04       3.448182852181e+03 
       9.364163376910e-04       3.669851080894e+03 
       1.000188843120e-03       3.903702960551e+03 
       1.067739531294e-03       4.149596434142e+03 
       1.139064504489e-03       4.407219382298e+03 
       1.214118222770e-03       4.676095286122e+03 
       1.292815824085e-03       4.955597799553e+03 
       1.375037411211e-03       5.244950050884e+03 
       1.460633820754e-03       5.543294256819e+03 
       1.549433265394e-03       5.849726715905e+03 
       1.641248225604e-03       6.163280918237e+03 
       1.735882045929e-03       6.482976884910e+03 
       1.833134829652e-03       6.807844822207e+03 
       1.932808385381e-03       7.136944315186e+03 
       2.034710127534e-03       7.469378920601e+03 
       2.138655950016e-03       7.804306449006e+03 
       2.244472171370e-03       8.140945386237e+03 
       2.351996692680e-03       8.478577972968e+03 
       2.461079523784e-03       8.816550686786e+03 
       2.571582828056e-03       9.154272811499e+03 
       2.683380619173e-03       9.491213663145e+03 
       2.796358221359e-03       9.826899018578e+03 
       2.910411581825e-03       1.016090708922e+04 
       3.025446503116e-03       1.049286424879e+04 
       3.141377844999e-03       1.082244074294e+04 
       3.258128730790e-03       1.114934651078e+04 
       3.375629781505e-03       1.147332745239e+04 
       3.493818392485e-03       1.179416129443e+04 
       3.612638060755e-03       1.211165512242e+04 
       3.732037766814e-03       1.242564133187e+04 
       3.851971411454e-03       1.273597588441e+04 
       3.972397306111e-03       1.304253508412e+04 
       4.093277713990e-03       1.334521362957e+04 
       4.214578438467e-03       1.364392261629e+04 
       4.336268454921e-03       1.393858759533e+04 
       4.458319582072e-03       1.422914700041e+04 
       4.580706188991e-03       1.451555054002e+04 
       4.703404934129e-03       1.479775292613e+04 
       4.826394532960e-03       1.507568103186e+04 
       4.949655551135e-03       1.534941299564e+04 
       5.073170220304e-03       1.561884827054e+04 
       5.196922274055e-03       1.588399940446e+04 
       5.320896801695e-03       1.614489606330e+04 
       5.445080117829e-03       1.640154114395e+04 
       5.569459645937e-03       1.665388050399e+04 
       5.694023814342e-03       1.690118524614e+04 
       5.818761963164e-03       1.714496663084e+04 
       5.943664260997e-03       1.738448075113e+04 
       6.068721630219e-03       1.761970474218e+04 
       6.193925679956e-03       1.785077902386e+04 
       6.319268645850e-03       1.807780759871e+04 
       6.444743335863e-03       1.830082778098e+04 
       6.570343081469e-03       1.851917361852e+04 
       6.696061693630e-03       1.873347539938e+04 
       6.821893423043e-03       1.894361395594e+04 
       6.947832924206e-03       1.914975507993e+04 
       7.073875222885e-03       1.935184212331e+04 
       7.200015686637e-03       1.954985282776e+04 
       7.326249998058e-03       1.974386477278e+04 
       7.452574130483e-03       1.993375078029e+04 
       7.578984325892e-03       2.011988943438e+04 
       7.705477074781e-03       2.030261105710e+04 
       7.832049097827e-03       2.048091597277e+04 
       7.958697329148e-03       2.065535713622e+04 
       8.085418901014e-03       2.082598339622e+04 
       8.212211129865e-03       2.099287804355e+04 
       8.339071503515e-03       2.115600756555e+04 
       8.465997669418e-03       2.131542464027e+04 
       8.592987423914e-03       2.147116481920e+04 
       8.720038702352e-03       2.162327141110e+04 
       8.847149570010e-03       2.177177429074e+04 
       8.974318213752e-03       2.191667671093e+04 
       9.101542934336e-03       2.205808241602e+04 
       9.228822139338e-03       2.219599986124e+04 
       9.356154336615e-03       2.233045305059e+04 
       9.483538128286e-03       2.246150422332e+04 
       9.610972205158e-03       2.258918106953e+04 
       9.738455341587e-03       2.271355457048e+04 
       9.865986390716e-03       2.283452198476e+04 
       9.993564280075e-03       2.295234147193e+04 
       1.012118800750e-02       2.306679220601e+04 
       1.024885663735e-02       2.317810788895e+04 
       1.037656929700e-02       2.328634975819e+04 
       1.050432517362e-02       2.339138863663e+04 
       1.063212351112e-02       2.349328216853e+04 
       1.075996360736e-02       2.359226104294e+04 
       1.088784481154e-02       2.368809099498e+04 
       1.101576652183e-02       2.378099461376e+04 
       1.114372818303e-02       2.387096600487e+04 
       1.127172928459e-02       2.395802740710e+04 
       1.139976935856e-02       2.404220735504e+04 
       1.152784797787e-02       2.412354386801e+04 
       1.165596475459e-02       2.420207685185e+04 
       1.178411933838e-02       2.427784264830e+04 
       1.191231141505e-02       2.435085898158e+04 
       1.204054070520e-02       2.442124052697e+04 
       1.216880696294e-02       2.448874765775e+04 
       1.229710997476e-02       2.455374240387e+04 
       1.242544955839e-02       2.461609398849e+04 
       1.255382556183e-02       2.467589260557e+04 
       1.268223786242e-02       2.473312637318e+04 
       1.281068636592e-02       2.478795258972e+04 
       1.293917100575e-02       2.484009694505e+04 
       1.306769174223e-02       2.488987738510e+04 
       1.319624856189e-02       2.493726450932e+04 
       1.332484147682e-02       2.498226995033e+04 
       1.345347052410e-02       2.502483755206e+04 
       1.358213576527e-02       2.506509762062e+04 
       1.371083728579e-02       2.510294583483e+04 
       1.383957519464e-02       2.513860498004e+04 
       1.396834962388e-02       2.517199067373e+04 
       1.409716072827e-02       2.520317030515e+04 
       1.422600868495e-02       2.523216508719e+04 
       1.435489369312e-02       2.525896472731e+04 
       1.448381597375e-02       2.528370974138e+04 
       1.461277576940e-02       2.530625651809e+04 
       1.474177334394e-02       2.532668053461e+04 
       1.487080898239e-02       2.534513310410e+04 
       1.499988299079e-02       2.536153621723e+04 
       1.512899569603e-02       2.537596631969e+04 
       1.525814744577e-02       2.538839797485e+04 
       1.538733860835e-02       2.539891013382e+04 
       1.551656957274e-02       2.540751391287e+04 
       1.564584074848e-02       2.541419869971e+04 
       1.577515256571e-02       2.541907723971e+04 
       1.590450547513e-02       2.542210337681e+04 
       1.603389994806e-02       2.542344272723e+04 
       1.616333647650e-02       2.542282729323e+04 
       1.629281557314e-02       2.542059115429e+04 
       1.642233777151e-02       2.541660578881e+04 
       1.655190362604e-02       2.541097953590e+04 
       1.668151371224e-02       2.540299458199e+04 
       1.681116862675e-02       2.539461135175e+04 
       1.694086898759e-02       2.538399837415e+04 
       1.707061543430e-02       2.537189172749e+04 
       1.720040862812e-02       2.535812500980e+04 
       1.733024925222e-02       2.534289001885e+04 
       1.746013801191e-02       2.532603989126e+04 
       1.759007563492e-02       2.530775724751e+04 
       1.772006287162e-02       2.528796335057e+04 
       1.785010049533e-02       2.526599065407e+04 
       1.798018930257e-02       2.524348264234e+04 
       1.811033011343e-02       2.522013928108e+04 
       1.824052377186e-02       2.519471025580e+04 
       1.837077114602e-02       2.516723202879e+04 
       1.850107312864e-02       2.513932629402e+04 
       1.863143063739e-02       2.511057484009e+04 
       1.876184461532e-02       2.507994097682e+04 
       1.889231603120e-02       2.504739767895e+04 
       1.902284588001e-02       2.501471062409e+04 
       1.915343518335e-02       2.498039418500e+04 
       1.928408498992e-02       2.494401403713e+04 
       1.941479637601e-02       2.490689335142e+04 
       1.954557044598e-02       2.487019784662e+04 
       1.967640833279e-02       2.483106579710e+04 
       1.980731119854e-02       2.479084534901e+04 
       1.993828023503e-02       2.474964542640e+04 
       2.006931666432e-02       2.470672834193e+04 
       2.020042173937e-02       2.466313934170e+04 
       2.033159674457e-02       2.461967287406e+04 
       2.046284299649e-02       2.457426800817e+04 
       2.059416184446e-02       2.452787471155e+04 
       2.072555467126e-02       2.447945910327e+04 
       2.085702289386e-02       2.443137466097e+04 
       2.098856796412e-02       2.438285267747e+04 
       2.112019136953e-02       2.433196745077e+04 
       2.125189463402e-02       2.428071177174e+04 
       2.138367931871e-02       2.422883835478e+04 
       2.151554702278e-02       2.417605684019e+04 
       2.164749938428e-02       2.412247621084e+04 
       2.177953808105e-02       2.406817878548e+04 
       2.191166483158e-02       2.401294411795e+04 
       2.204388139596e-02       2.395688198665e+04 
       2.217618957687e-02       2.389999919165e+04 
       2.230859122051e-02       2.384259075800e+04 
       2.244108821769e-02       2.378427120965e+04 
       2.257368250484e-02       2.372524145711e+04 
       2.270637606510e-02       2.366566019599e+04 
       2.283917092947e-02       2.360575082479e+04 
       2.297206917795e-02       2.354432202029e+04 
       2.310507294071e-02       2.348336728409e+04 
       2.323818439939e-02       2.342102453322e+04 
       2.337140578826e-02       2.335758398135e+04 
       2.350473939566e-02       2.329386473773e+04 
       2.363818756524e-02       2.322999002541e+04 
       2.377175269741e-02       2.316532551476e+04 
       2.390543725077e-02       2.309991187830e+04 
       2.403924374359e-02       2.303416543865e+04 
       2.417317475535e-02       2.296801797433e+04 
       2.430723292830e-02       2.290126941576e+04 
       2.444142096913e-02       2.283465072389e+04 
       2.457574165060e-02       2.276614945595e+04 
       2.471019781335e-02       2.269793062545e+04 
       2.484479236763e-02       2.262928174973e+04 
       2.497952829521e-02       2.256032781886e+04 
       2.511440865126e-02       2.249062569332e+04 
       2.524943656635e-02       2.242067079846e+04 
       2.538461524850e-02       2.235062322488e+04 
       2.551994798528e-02       2.227981864718e+04 
       2.565543814603e-02       2.220867321842e+04 
       2.579108918407e-02       2.213697876152e+04 
       2.592690463912e-02       2.206530497531e+04 
